player,gender,cost
Jannik Sinner,M,12
Alexander Zverev,M,5
Novak Djokovic,M,4
Felix Auger-Aliassime,M,4
Ben Shelton,M,4
Daniil Medvedev,M,3
Taylor Fritz,M,3
Alex De Minaur,M,3
Alexander Bublik,M,3
Flavio Cobolli,M,2
Andrey Rublev,M,2
Jiri Lehecka,M,2
Karen Khachanov,M,2
Luciano Darderi,M,2
Casper Ruud,M,2
Valentin Vacherot,M,2
Arthur Fils,M,2
Learner Tien,M,1
Frances Tiafoe,M,1
Cameron Norrie,M,1
Aryna Sabalenka,F,9
Elena Rybakina,F,8
Iga Swiatek,F,7
Coco Gauff,F,6
Jessica Pegula,F,6
Amanda Anisimova,F,5
Elina Svitolina,F,4
Mirra Andreeva,F,4
Victoria Mboko,F,3
Karolina Muchova,F,3
Belinda Bencic,F,3
Linda Noskova,F,3
Jasmine Paolini,F,2
Ekaterina Alexandrova,F,2
Marta Kostyuk,F,2
Naomi Osaka,F,2
Iva Jovic,F,2
Sorana Cirstea,F,1
Madison Keys,F,1
Liudmila Samsonova,F,1
