player,line,gender
Aryna Sabalenka,1,F
Jessica Bouzas Maneiro,2,F
Linda Fruhvirtova,3,F
Elsa Jacquemot,4,F
Daria Kasatkina,5,F
Zeynep Sonmez,6,F
Susan Bandecchi,7,F
Cristina Bucsa,8,F
Iva Jovic,9,F
Alexandra Eala,10,F
Emma Navarro,11,F
Janice Tjen,12,F
Donna Vekic,13,F
Alice Tubello,14,F
Laura Siegemund,15,F
Naomi Osaka,16,F
Victoria Mboko,17,F
Nikola Bartunkova,18,F
Simona Waltert,19,F
Katerina Siniakova,20,F
Antonia Ruzic,21,F
Ashlyn Krueger,22,F
Hanne Vandewinkel,23,F
Madison Keys,24,F
Diana Shnaider,25,F
Renata Zarazua,26,F
Hanyu Guo,27,F
Mccartney Kessler,28,F
Elena Pridankina,29,F
Oleksandra Oliynykova,30,F
Kimberly Birrell,31,F
Jessica Pegula,32,F
Coco Gauff,33,F
Taylor Townsend,34,F
Dalma Galfi,35,F
Mayar Sherif,36,F
Akasha Urhobo,37,F
Katie Boulter,38,F
Maya Joint,39,F
Anastasia Potapova,40,F
Anna Kalinskaya,41,F
Lois Boisson,42,F
Alina Korneeva,43,F
Elisabetta Cocciaretto,44,F
Talia Gibson,45,F
Yulia Putintseva,46,F
Camila Osorio,47,F
Ekaterina Alexandrova,48,F
Linda Noskova,49,F
Maria Sakkari,50,F
Claire Liu,51,F
Moyuka Uchijima,52,F
Maja Chwalinska,53,F
Qinwen Zheng,54,F
Tatjana Maria,55,F
Elise Mertens,56,F
Ann Li,57,F
Shuai Zhang,58,F
Anhelina Kalinina,59,F
Diane Parry,60,F
Julia Grabher,61,F
Rebecca Sramkova,62,F
Tiantsoa Rakotomanga Rajaonah,63,F
Amanda Anisimova,64,F
Elina Svitolina,65,F
Anna Bondar,66,F
Kaitlin Quevedo,67,F
Leolia Jeanjean,68,F
Sara Sorribes Tormo,69,F
Tamara Korpatsch,70,F
Lilli Tagger,71,F
Xinyu Wang,72,F
Clara Tauson,73,F
Daria Snigur,74,F
Sofia Kenin,75,F
Peyton Stearns,76,F
Ajla Tomljanovic,77,F
Caty Mcnally,78,F
Sinja Kraus,79,F
Belinda Bencic,80,F
Marta Kostyuk,81,F
Oksana Selekhmeteva,82,F
Katie Volynets,83,F
Clara Burel,84,F
Panna Udvardy,85,F
Viktorija Golubic,86,F
Alycia Parks,87,F
Leylah Fernandez,88,F
Jelena Ostapenko,89,F
Ella Seidel,90,F
Tereza Valentova,91,F
Magda Linette,92,F
Sara Bejlek,93,F
Sloane Stephens,94,F
Emerson Jones,95,F
Iga Swiatek,96,F
Mirra Andreeva,97,F
Fiona Ferro,98,F
Marina Bassols Ribera,99,F
Emiliana Arango,100,F
Francesca Jones,101,F
Beatriz Haddad Maia,102,F
Lucia Bronzetti,103,F
Marie Bouzkova,104,F
Liudmila Samsonova,105,F
Jil Teichmann,106,F
Magdalena Frech,107,F
Elena-Gabriela Ruse,108,F
Kamilla Rakhimova,109,F
Jaqueline Cristian,110,F
Anastasia Zakharova,111,F
Karolina Muchova,112,F
Jasmine Paolini,113,F
Dayana Yastremska,114,F
Emma Raducanu,115,F
Solana Sierra,116,F
Petra Marcinko,117,F
Eva Lys,118,F
Ksenia Efremova,119,F
Sorana Cirstea,120,F
Hailey Baptiste,121,F
Barbora Krejcikova,122,F
Danka Kovinic,123,F
Xiyu Wang,124,F
Anna Blinkova,125,F
Yuliia Starodubtseva,126,F
Veronika Erjavec,127,F
Elena Rybakina,128,F
Jannik Sinner,1,M
Clement Tabur,2,M
Vit Kopriva,3,M
Corentin Moutet,4,M
Juan Manuel Cerundolo,5,M
Arthur Rinderknech,6,M
Jurij Rodionov,7,M
Jacob Fearnley,8,M
Martin Landaluce,9,M
Juan Carlos Prado Angelo,10,M
