player,celo
Iga Swiatek,2268.4
Aryna Sabalenka,2110.1
Elena Rybakina,2064.5
Coco Gauff,2031.2
Danielle Collins,1958.9
Jasmine Paolini,1934.6
Marketa Vondrousova,1922.0
Qinwen Zheng,1911.3
Madison Keys,1904.7
Jelena Ostapenko,1896.2
Marta Kostyuk,1888.5
Daria Kasatkina,1881.0
Maria Sakkari,1875.4
Mirra Andreeva,1869.8
Ons Jabeur,1862.1
Emma Navarro,1855.7
Beatriz Haddad Maia,1849.3
Elina Svitolina,1842.0
Victoria Azarenka,1836.5
Liudmila Samsonova,1829.1
Ekaterina Alexandrova,1821.4
Linda Noskova,1815.0
Caroline Garcia,1807.6
Jessica Pegula,1802.3
Katie Boulter,1795.8
Dayana Yastremska,1789.2
Anastasia Pavlyuchenkova,1783.0
Sorana Cirstea,1777.4
Veronika Kudermetova,1771.1
Elise Mertens,1765.5
Anna Kalinskaya,1759.2
Anhelina Kalinina,1753.8
Karolina Pliskova,1748.0
Barbora Krejcikova,1742.3
Leylah Fernandez,1736.9
Marie Bouzkova,1731.1
Katerina Siniakova,1725.6
Paula Badosa,1720.0
Sloane Stephens,1714.4
Clara Tauson,1709.1
Yulia Putintseva,1703.5
Mayar Sherif,1698.2
Magda Linette,1693.0
Sofia Kenin,1687.7
Naomi Osaka,1682.4
Peyton Stearns,1677.1
Diane Parry,1672.0
Varvara Gracheva,1666.8
Clara Burel,1661.5
Lucia Bronzetti,1656.3
Tatjana Maria,1652.8
Sara Sorribes Tormo,1649.3
Bernarda Pera,1645.8
Arantxa Rus,1642.3
Nadia Podoroska,1638.8
Camila Osorio,1635.3
Viktoriya Tomova,1631.8
Jaqueline Cristian,1628.3
Ashlyn Krueger,1624.8
Taylor Townsend,1621.3
Lulu Sun,1617.8
Greet Minnen,1614.3
Anna Blinkova,1610.8
Cristina Bucsa,1607.3
Rebeka Masarova,1603.8
Sara Errani,1600.3
Laura Siegemund,1596.8
Harriet Dart,1593.3
Oceane Dodin,1589.8
Zhu Lin,1586.3
Wang Xinyu,1582.8
Wang Xiyu,1579.3
Yuan Yue,1575.8
Bai Zhuoxuan,1572.3
Kamilla Rakhimova,1568.8
Erika Andreeva,1565.2
Maria Lourdes Carle,1561.7
Julia Riera,1558.1
Brenda Fruhvirtova,1554.5
Elisabetta Cocciaretto,1551.0
Martina Trevisan,1547.5
Renata Zarazua,1543.9
Ana Bogdan,1540.4
Irina-Camelia Begu,1536.8
Anca Todoni,1533.2
Aliaksandra Sasnovich,1529.7
Tamara Zidansek,1526.2
Viktorija Golubic,1522.6
Jule Niemeier,1519.0
Eva Lys,1515.5
Nao Hibino,1512.0
Mai Hontama,1508.4
Moyuka Uchijima,1504.9
Suzan Lamens,1501.3
Jessica Bouzas Maneiro,1497.8
Marina Bassols Ribera,1494.2
Alize Cornet,1490.7
Polina Kudermetova,1487.1
Daria Saville,1483.5
Kimberly Birrell,1480.0
Amanda Anisimova,1751.3
Belinda Bencic,1848.5
Iva Jovic,1792.8
Karolina Muchova,1879.9
Victoria Mboko,1856.3
