player,gender,cost
Jannik Sinner,M,12
Alexander Zverev,M,7
Felix Auger-Aliassime,M,4
Ben Shelton,M,4
Alex De Minaur,M,3
Novak Djokovic,M,3
Daniil Medvedev,M,3
Taylor Fritz,M,3
Flavio Cobolli,M,3
Alexander Bublik,M,3
Jiri Lehecka,M,2
Andrey Rublev,M,2
Casper Ruud,M,2
Karen Khachanov,M,2
Jakub Mensik,M,2
Luciano Darderi,M,2
Learner Tien,M,2
Arthur Fils,M,1
Alejandro Davidovich Fokina,M,1
Aryna Sabalenka,F,8
Elena Rybakina,F,7
Iga Swiatek,F,6
Jessica Pegula,F,5
Amanda Anisimova,F,5
Mirra Andreeva,F,5
Coco Gauff,F,4
Elina Svitolina,F,4
Karolina Muchova,F,3
Belinda Bencic,F,3
Marta Kostyuk,F,3
Linda Noskova,F,3
Jasmine Paolini,F,2
Naomi Osaka,F,2
Diana Shnaider,F,2
Ekaterina Alexandrova,F,2
Sorana Cirstea,F,2
Iva Jovic,F,2
Anna Kalinskaya,F,1
Maja Chwalinska,F,1
