player,line,gender
Jannik Sinner,1,M
Miomir Kecmanovic,2,M
Nuno Borges,3,M
Tristan Boyer,4,M
Aleksandar Vukic,5,M
Jenson Brooksby,6,M
Emilio Nava,7,M
Ignacio Buse,8,M
Rafael Jodar,9,M
Felix Gill,10,M
Denis Shapovalov,11,M
Pablo Carreno Busta,12,M
Shintaro Mochizuki,13,M
Max Basing,14,M
Ethan Quinn,15,M
Luciano Darderi,16,M
Casper Ruud,17,M
Hubert Hurkacz,18,M
Hamad Medjedovic,19,M
Sebastian Ofner,20,M
Soonwoo Kwon,21,M
Martin Landaluce,22,M
Alexandre Muller,23,M
Tommy Paul,24,M
Brandon Nakashima,25,M
Jack Pinnington Jones,26,M
Jan-Lennard Struff,27,M
Sebastian Baez,28,M
Camilo Ugo Carabelli,29,M
Daniel Merida,30,M
Marin Cilic,31,M
Daniil Medvedev,32,M
Felix Auger Aliassime,33,M
Aleksandr Shevchenko,34,M
Adam Walton,35,M
Dino Prizmic,36,M
Adolfo Daniel Vallejo,37,M
Nicolas Mejia,38,M
Michael Zheng,39,M
Cameron Norrie,40,M
Alejandro Davidovich Fokina,41,M
Juan Manuel Cerundolo,42,M
Thiago Agustin Tirante,43,M
Fabian Marozsan,44,M
Luca Van Assche,45,M
Marton Fucsovics,46,M
Dalibor Svrcina,47,M
Learner Tien,48,M
Andrey Rublev,49,M
Roman Safiullin,50,M
Aleksandar Kovacevic,51,M
Botic Van De Zandschulp,52,M
Jesper De Jong,53,M
Rinky Hijikata,54,M
Roberto Bautista Agut,55,M
Joao Fonseca,56,M
Arthur Rinderknech,57,M
Oliver Tarvet,58,M
Marco Trungelliti,59,M
Martin Damm,60,M
Hugo Gaston,61,M
Stefanos Tsitsipas,62,M
Yibing Wu,63,M
Novak Djokovic,64,M
Alex De Minaur,65,M
Roman Andres Burruchaga,66,M
Adrian Mannarino,67,M
Titouan Droguet,68,M
P Llamas Ruiz,69,M
Zachary Svajda,70,M
Kamil Majchrzak,71,M
Alejandro Tabilo,72,M
Karen Khachanov,73,M
Billy Harris,74,M
Yannick Hanfmann,75,M
Giovanni Mpetshi Perricard,76,M
Tallon Griekspoor,77,M
James Duckworth,78,M
Mariano Navone,79,M
Flavio Cobolli,80,M
Jakub Mensik,81,M
Toby Samuel,82,M
Dane Sweeny,83,M
Grigor Dimitrov,84,M
Stan Wawrinka,85,M
Matteo Berrettini,86,M
Raphael Collignon,87,M
Arthur Fils,88,M
Ugo Humbert,89,M
Zizou Bergs,90,M
Sho Shimabukuro,91,M
Jaime Faria,92,M
Damir Dzumhur,93,M
Arthur Fery,94,M
Otto Virtanen,95,M
Ben Shelton,96,M
Taylor Fritz,97,M
Jack Draper,98,M
Patrick Kypson,99,M
Mackenzie McDonald,100,M
Benjamin Bonzi,101,M
Gabriel Diallo,102,M
Lorenzo Sonego,103,M
