player,elo
Argentina,2148
Spain,2144
France,2123
England,2038
Brazil,2009
Colombia,2004
Portugal,1990
Netherlands,1980
Norway,1918
Germany,1916
Switzerland,1914
Mexico,1912
Japan,1910
Croatia,1905
Ecuador,1902
Belgium,1884
Morocco,1877
Turkey,1852
Senegal,1842
Uruguay,1841
Austria,1836
Paraguay,1815
Australia,1800
Algeria,1785
USA,1781
Iran,1764
Canada,1748
Scotland,1745
Ivory Coast,1743
Sweden,1742
Egypt,1742
South Korea,1723
Congo,1712
Czechia,1680
Panama,1658
Uzbekistan,1631
Jordan,1628
Bosnia,1622
Cape Verde,1622
Saudi Arabia,1596
Ghana,1575
S Africa,1575
Tunisia,1562
Iraq,1561
New Zealand,1534
Haiti,1517
Curaçao,1438
Qatar,1411
