elo_rank,player,age,elo,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,peak_elo,peak_month,wta_rank,log_diff
1,Aryna Sabalenka,28.1,2220.0,1,2201.3,1,2103.1,1,1987.2,2271.7,2026-04,1,0
2,Elena Rybakina,26.9,2122.5,2,2110.0,5,2001.6,4,1883.7,2199.5,2026-04,2,0
3,Mirra Andreeva,19.0,2097.8,8,2005.8,2,2046.3,7,1827.3,2159.2,2025-03,5,-0.51
4,Jessica Pegula,32.3,2096.6,3,2058.0,8,1941.4,3,1903.4,2116.1,2026-04,4,0
5,Iga Swiatek,24.9,2080.1,5,2029.9,4,2016.2,2,1935.8,2291.0,2024-07,3,0.51
6,Coco Gauff,22.2,2071.2,4,2034.7,3,2018.4,8,1822.8,2155.7,2024-01,7,-0.15
7,Elina Svitolina,31.7,2067.1,9,1996.0,6,1993.1,6,1844.5,2120.6,2018-05,8,-0.13
8,Marta Kostyuk,23.9,2056.7,10,1967.5,7,1992.1,27,1737.4,2067.8,2026-05,13,-0.49
9,Karolina Muchova,29.8,2041.0,6,2021.5,11,1879.9,15,1774.2,2096.5,2026-04,11,-0.20
10,Victoria Mboko,19.7,2006.4,7,2006.5,14,1856.3,38,1706.9,2093.8,2026-03,9,0.11
11,Linda Noskova,21.5,1996.5,12,1922.8,19,1822.2,5,1875.2,1996.5,2026-06,10,0.10
12,Belinda Bencic,29.2,1989.0,11,1952.3,17,1848.5,14,1790.9,2100.0,2015-09,12,0
13,Naomi Osaka,28.6,1972.4,14,1913.9,12,1878.6,26,1741.1,2193.3,2021-03,15,-0.14
14,Madison Keys,31.3,1966.8,15,1909.9,9,1883.7,12,1793.2,2090.1,2016-08,27,-0.66
15,Sorana Cirstea,36.1,1956.6,13,1914.5,15,1855.8,43,1688.7,1972.4,2026-05,18,-0.18
16,Jasmine Paolini,30.3,1921.7,16,1880.8,13,1864.5,16,1770.3,2058.1,2025-10,14,0.13
17,Anna Kalinskaya,27.5,1915.0,18,1866.6,22,1808.4,33,1727.0,1948.6,2024-04,20,-0.16
18,Amanda Anisimova,24.7,1913.6,17,1879.6,40,1751.3,17,1768.0,2086.9,2025-11,6,1.10
19,Alexandra Eala,21.0,1910.7,22,1840.5,76,1684.9,9,1821.9,1922.7,2026-06,30,-0.46
20,Diana Shnaider,22.2,1909.8,21,1842.1,16,1850.2,32,1727.2,1976.1,2024-08,16,0.22
21,Marketa Vondrousova,26.5,1907.1,26,1825.8,31,1773.1,13,1791.1,2062.5,2023-08,122,-1.76
22,Iva Jovic,18.5,1905.7,19,1847.4,27,1792.8,11,1797.8,1951.1,2026-02,17,0.26
23,Anastasia Potapova,25.2,1904.1,29,1803.9,10,1881.4,45,1686.6,1944.4,2026-05,28,-0.20
24,Elise Mertens,30.5,1891.3,20,1846.3,21,1809.6,24,1748.1,2042.7,2021-04,26,-0.08
25,Barbora Krejcikova,30.4,1888.6,25,1827.0,55,1725.5,10,1802.3,2054.4,2021-08,37,-0.39
26,Karolina Pliskova,34.2,1880.3,27,1816.3,18,1822.9,19,1763.6,2089.1,2020-01,74,-1.05
27,Sonay Kartal,24.3,1874.0,24,1832.6,125,1602.3,29,1731.6,1879.9,2026-03,84,-1.13
28,Marie Bouzkova,27.9,1870.9,34,1798.4,25,1798.9,22,1751.3,1958.3,2022-10,22,0.24
29,Katerina Siniakova,30.0,1858.6,28,1813.2,51,1728.4,23,1751.1,1950.5,2017-01,34,-0.16
30,Qinwen Zheng,23.6,1857.8,23,1834.6,20,1814.1,83,1610.7,2098.3,2024-11,153,-1.63
31,Jelena Ostapenko,28.9,1851.5,36,1792.6,24,1806.6,18,1765.1,2029.5,2017-10,35,-0.12
32,Emma Navarro,25.0,1849.9,53,1755.4,28,1786.1,20,1755.8,2002.7,2024-08,24,0.29
33,Hailey Baptiste,24.5,1843.9,41,1780.5,32,1770.5,71,1631.6,1860.4,2026-05,31,0.06
34,Katie Boulter,29.8,1843.3,32,1801.0,65,1701.5,21,1755.0,1894.3,2024-03,59,-0.55
35,Veronika Kudermetova,28.4,1836.4,39,1785.9,35,1764.7,37,1709.5,1981.1,2023-05,113,-1.17
36,Taylor Townsend,30.1,1836.2,31,1801.3,49,1736.5,76,1627.5,1850.4,2026-05,81,-0.81
37,Emma Raducanu,23.5,1834.0,45,1772.9,54,1726.8,25,1742.6,1998.0,2021-08,32,0.15
38,Jaqueline Cristian,28.0,1833.9,30,1803.1,43,1746.1,138,1528.7,1855.2,2026-05,38,0
39,Magda Linette,34.3,1831.4,43,1779.6,34,1765.3,53,1669.4,1866.6,2023-02,58,-0.40
40,Anhelina Kalinina,29.3,1829.5,56,1744.3,23,1807.0,57,1652.7,1890.8,2022-06,70,-0.56
41,Ekaterina Alexandrova,31.5,1824.7,37,1789.9,53,1726.9,30,1730.4,1977.2,2020-02,19,0.77
42,Tereza Valentova,19.3,1824.6,33,1800.0,33,1766.5,85,1609.7,1939.6,2026-02,61,-0.37
43,Camila Osorio,24.4,1822.7,38,1788.2,47,1738.6,68,1635.5,1852.0,2023-06,69,-0.47
44,Peyton Stearns,24.6,1820.8,48,1763.4,36,1764.3,117,1562.4,1925.1,2025-05,63,-0.36
45,Maja Chwalinska,24.6,1820.2,67,1729.0,29,1786.0,92,1593.5,1825.3,2026-05,21,0.76
46,Elisabetta Cocciaretto,25.3,1819.7,42,1780.1,56,1720.0,39,1702.0,1858.1,2026-04,44,0.04
47,Caty Mcnally,24.5,1819.7,66,1732.4,42,1747.9,34,1716.2,1836.8,2026-06,50,-0.06
48,Olga Danilovic,25.0,1819.1,60,1739.8,26,1796.1,65,1639.9,1883.7,2025-05,200,-1.43
49,Ann Li,25.9,1818.0,54,1751.4,41,1748.9,87,1606.4,1894.4,2021-03,29,0.52
50,Maria Sakkari,30.8,1811.6,35,1796.0,37,1754.0,74,1630.7,2067.5,2022-03,39,0.25
51,Oleksandra Oliynykova,25.3,1810.1,146,1590.4,39,1751.4,115,1564.3,1825.0,2026-05,49,0.04
52,Varvara Gracheva,25.6,1809.9,49,1763.2,66,1701.4,63,1641.3,1840.6,2026-02,72,-0.33
53,Donna Vekic,29.9,1807.6,62,1735.8,38,1753.9,31,1728.6,1947.0,2019-08,33,0.47
54,Leylah Fernandez,23.7,1806.4,40,1785.2,64,1702.4,58,1649.9,1977.3,2022-03,23,0.85
55,Daria Kasatkina,29.1,1805.8,50,1762.4,30,1774.8,46,1683.6,2036.5,2018-03,68,-0.21
56,Yulia Putintseva,31.4,1804.7,52,1758.3,46,1740.1,64,1640.2,1933.4,2025-01,85,-0.42
57,Eva Lys,24.4,1803.6,44,1775.9,74,1688.3,75,1629.9,1896.2,2025-10,77,-0.30
58,Dayana Yastremska,26.0,1791.6,65,1732.9,50,1730.9,50,1673.4,1978.4,2019-02,66,-0.13
59,Rebeka Masarova,26.8,1788.8,84,1701.3,48,1737.1,35,1711.2,1817.5,2023-04,156,-0.97
